
BoxSetEpisodeTitle                                                    BoxSetEpisodeMediaUrl
Monday 20th August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180820191158.m4a?awCollectionId=superscoreboard&awEpisodeId=10400?awCollectionId=13&awEpisodeId=222511
Saturday 18th August Clyde 1 Superscoreboard Openline                 https://aod.planetradio.co.uk/superscoreboard/20180818172530.m4a?awCollectionId=superscoreboard&awEpisodeId=10364?awCollectionId=13&awEpisodeId=222512
Saturday 18th August Clyde 1 Superscoreboard Build-Up                 https://aod.planetradio.co.uk/superscoreboard/20180818172322.m4a?awCollectionId=superscoreboard&awEpisodeId=10363?awCollectionId=13&awEpisodeId=222513
Friday 17th August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180817190307.m4a?awCollectionId=superscoreboard&awEpisodeId=10359?awCollectionId=13&awEpisodeId=222514
Thursday 16th August Clyde 1 Superscoreboard                          https://aod.planetradio.co.uk/superscoreboard/20180816192719.m4a?awCollectionId=superscoreboard&awEpisodeId=10328?awCollectionId=13&awEpisodeId=222515
Wednesday 15th AUgust Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180815191330.m4a?awCollectionId=superscoreboard&awEpisodeId=10307?awCollectionId=13&awEpisodeId=222516
Tuesday 14th August Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20180814191514.m4a?awCollectionId=superscoreboard&awEpisodeId=10280?awCollectionId=13&awEpisodeId=222517
Monday 13th August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180813190625.m4a?awCollectionId=superscoreboard&awEpisodeId=10261?awCollectionId=13&awEpisodeId=222518
Saturday 11th August Clyde 1 Superscoreboard Openline                 https://aod.planetradio.co.uk/superscoreboard/20180813122803.m4a?awCollectionId=superscoreboard&awEpisodeId=10251?awCollectionId=13&awEpisodeId=222519
Friday 10th August Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20180810190635.m4a?awCollectionId=superscoreboard&awEpisodeId=10238?awCollectionId=13&awEpisodeId=222520
Thursday 9th August Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20180809191135.m4a?awCollectionId=superscoreboard&awEpisodeId=10197?awCollectionId=13&awEpisodeId=222521
